Station Name
BHORAS BUDRUKH
JAMNER
ANJANGAON
BANOSA
BHADSIVNI
BHAGDARA
BORVIHIR
CHAMAK
DARWHA MOTI BAGH JN.
KAPUSTALNI
KARANJA
KARANJA TOWN
KHUSTA BUZURG
KINKHED
KOHDAD
KOKALDA
KOLHADI
LADKHED
LAKHPURI
LASINA
LEHGAON
LING
MANDURA
MOHADI PRAGANE LALIN
MORDAD TANDA
MURTIZAPUR TOWN
NOWBAGH
PAHUR
PIMPALGAON
POHE
RAJMANE
SANGWI
SHENDURNI
SHIRALA
SOMTHAN
TAPONA
VARKHEDI
VILEGAON
WARUDKHED
PADLI
SAGPHATA
NASHIK ROAD
AKOLA JN.
AMRAVATI
BADNERA JN.
BHUSAVAL JN.
JALGAON JN
KHANDWA
MANMAD JN.
SHEGAON
BURHANPUR
CHALISGAON JN
MALKAPUR
BODWAD
DEVLALI
DHULE
LASALGAON
MURTIZAPUR
NANDGAON
NANDURA
NEPANAGAR
NIPHAD
PACHORA JN.
RAVER
ACHALPUR
ACHEGAON
ANKAI
ASIRGARH ROAD
ASVALI
BAGMAR
BHADLI
BISWA BRIDGE
BORGAON
CHANDNI
CHANDUR BAZAR
DONGARGAON
DUSKHEDA
GAIGAON
GALAN
GHOTI
HIRAPUR
HISVAHAL
JALAMB JN.
JAMDHA
KAJGAON
KASBE SUKENE
KATEPURNA
KHAMGAON
KHAMKHED
KHERWADI
KHUMGAON BURTI
KURAM
LAHAVIT
MAHEJI
MANA
MANDWA
MHASAVAD
NAGARDEVLA
NAYDONGRI
NEW AMRAVATI
NIMBHORA
ODHA
PANJHAN
PARAS
PARDHADE
PIMPARKHED
SAVDA
SHIRSOLI
SHIRUD
SHRI KSHETRA NAGJHARI
SUMMIT
TAKLI
UGAON
VAGHLI
VARANGAON
WADODA
WAGHODA
WALGAON
YAVATMAL
YEULKHED
PANEVADI
ANKAI KILA
CHAUK
HAMARAPUR
JUICHANDRA
KASU
NAVADE ROAD
NIDI
CHIKHLI
MOHOPE
OOMBERMALI
RASAYANI
THANSIT
C SHIVAJI MAH T
DADAR
KALYAN JN.
LOKMANYA TILAK TERMI
PANVEL
THANE
LONAVALA
AMAN LODGE
BHIVANDI ROAD
MATHERAN
IGATPURI
ROHA
APTA
JITE
KALAMBOLI
KAMAN ROAD
KHANDALA
KHARBAV
NAGOTHANE
NILAJE
PEN
SOMTANE
TALOJA PANCHNAND
AMBARNATH
BADLAPUR
BHANDUP
DIVA
DOMBIVLI
GHATKOPAR
KURLA JN.
MANKHURD
MULUND
MUMBRA
SION
VIKHROLI
AIRAVALI
AMBIVLI
BELAPUR C.B.D
BYCULLA
CHEMBUR
CHINCHPOKLI
COTTON GREEN
CURREY ROAD
GHANSOLI
GOVANDI
"GURU
TEGHBAHADURNAGA"
JUINAGAR
KALVA
KANJUR MARG
KARJAT
KHANDESHWAR
KHARGHAR
KINGS CIRCLE
KOPARKHAIRANE
MANSAROVAR
MASJID
MATUNGA
NAHUR
NERUL
SANDHURST ROAD
SANPADA
SEAWOODSDARAVE
SEWRI
SHAHAD
THAKURLI
TILAK NAGAR
TITWALA
ULHASNAGAR
VADALA ROAD
VASHI
VIDYAVIHAR
VITHALWADI
ASANGAON
ATGAON
BAMANDONGRI
BHIVPURI ROAD
CHUNABHATTI
DOCKYARD ROAD
DOLAVALI
KASARA
KELAVLI
KHADAVLI
KHARDI
KHARKOPAR
KHOPOLI
KOPAR
LOWJEE
NERAL
PALASDHARI
PAREL
RABALE
REAY ROAD
SHELU
TURBHE
VANGANI
VASIND
FOOD CORPORATION OF
KHIRASDOH JN.
RAJUR
GHUGUS
BARCHHI ROAD
BARELIPAR
BENODA
GANGIWARA
MARKADHANA
MOWAD
VARUD
DARIMETA
GHUDANKHAPA
GONDWANA VISAPUR
HATNAPUR
HIWARKHED
LALAWADI
MAGARDOH
MALKAPUR ROAD
TINKHEDA
YENOR
NAGPUR
BALHARSHAH
BETUL
"CHANDRAPUR
(MAHARASH"
SEVAGRAM
AJNI
AMLA JN.
BHANDAK
BHUGAON
CHANDUR
DHAMANGAON
GHORADONGRI
HINGANGHAT
JUNNOR DEO
KATOL
MULTAI
NARKHER
PANDHURNA
PARASIA
PULGAON JN.
WARDHA JN.
WARORA
BABUPETH
BARBATPUR
BARSALI
BHARATWADA
BORDHAI
BORKHEDI
BUTI BORI
CHICHONDA
CHIKNI ROAD
DAHEGAON
DHARAKHOH
DHODRA MOHAR
GODHANI
GUMGAON
HIRDAGARH
IKLEHRA
JAMBARA
JAULKHERA
KALA AKHAR
KALAMBHA
KALMESHWAR
KAOTHA
KAYAR
KHAPRI
KIRATGARH
KOHLI
LINGTI
MAJRI JN.
MAJRIKHADAN
MALKHED
MARAMJHIRI
METPANJRA
MORSHI
NAGRI
NAWEGAON
PALACHAURI
PIMPALKHUTI
PUSLA
SAHELI
SELOO ROAD
SINDI
SONEGAON
SONKHAMB
TADALI
TAKU
TALNI
TEEGAON
TIMTALA
TULJAPUR
WAGHOLI
WANI
WARUD ORANGE CITY
KADETHAN
KANHE
KATPHAL
KHUTBAV
MANJARI BUDRUK
SHIRSAI
VISHRAMBAG
AMNAPUR
MADHAVNAGAR
MALADGAON
"NIMSHIRGAON
TAMDALGE"
PHALTAN
SURWADI
TARADGAON
PUNE
PUNE JN.
"CHHATRAPATI SHAHU
MAHARAJ TERMINUS"
MIRAJ JN
BARAMATI
HATKANANGALE
JAYASINGPUR
JEJURI
KARAD
KEDGAON
KIRLOSKARVADI
SANGLI
SATARA
URULI
VALIVADE
ADARKI
ALANDI
AMBALE
BHAVANINAGAR
BHILAVDI
DAUNDAJ
HADAPSAR
JARANDESHWAR
KOREGAON
LONAND JN.
LONI
MASUR
NANDRE
NIRA
PALSI
PATAS
PHURSUNGI
RAHIMATPUR
RAJEVADI
RUKADI
SALPA
SASVAD ROAD
SHENOLI
SHINDAWANE
SHIRAVDE
TAKARI
TARGAON
VALHA
WATHAR
YEVAT
AKURDI
BEGDEWADI
CHINCHVAD
DAPODI
DEHU ROAD
GHORAWADI
KAMSHET
KASARWADI
KHADKI
MALAVLI
PIMPRI
SHIVAJI NAGAR
TALEGAON
VADGAON
BHARAT FORGE COMP SD
GUR MARKET
SHELARWADI
ASHTI
BELANKI
HARANGUL
JAVALE
KADA
KALAMB ROAD
LANGARPETH
MHASOBA DONGARGAON
MURUD
NARAYANDOHO
NEW DHANORA
NEW LONI
NIMBLAK
NIPANI VADGAON
PATHROT
SOLAPURWADI
WASUD
SOLAPUR
AHMADNAGAR.
DAUND JN.
KALABURAGI
KOPARGAON
SAINAGAR SHIRDI
KURDUWADI
LATUR
PANDHARPUR
WADI
AKALKOT ROAD
BARSI TOWN
BELAPUR
DAUND CHORDLINE
DUDHANI
GANAGAPUR ROAD
HOTGI
JEUR
SHAHABAD
USMANABAD
AKOLNER
ANGAR
ARAG
AUSA ROAD
BABLAD
BALE
BELVANDI
BHIGWAN
BORIBIAL
BOROTI
CHITALI
DHALGAON
DHAVALAS
DHOKI
GAUDGAON.
HIRENANDURU
HUNSIHADGIL
JATH ROAD
JINTI ROAD
KANHEGAON
KASHTI
KAVATHE-MAHANKAL
KEM
KULALI
MADHA
MALIKPETH
MALTHAN
MARTUR
MODNIMB
MOHOL
MUNDHEWADI
NAGANSUR
PADHEGAON
PAKNI
PANGRI
PAREWADI
POPHLAJ
PUNTAMBA
RAHURI
RANJANGAON ROAD
SANGOLA
SAROLA
SAWALGI
SHENDRI
SHRIGONDA ROAD
SULGARE
TAJ SULTANPUR
TIKEKARWADI
TILATI
VAKAV
VAMBORI
VILAD
VISAPUR
WADSINGE
WASHIMBE
YEDSHI
YEOLA
PALSAP
BAGADIA PH
BANABIHARI GWALIPUR
CHATRAPUR COURT PH
DANDIMAL PH
DULAKHAPATNA PH
JANKIDEIPUR PH
JHANKADA SARALA ROAD
KALIJAI - PH
KAPALI ROAD PH
KATHAJORI PH
LINGARAJ TEMPLE ROAD
MUKTESWARPURI PH
NIMAKANA PH
PATIA PH
SHYAMACHARANPUR PH
TALCHER THERMAL PH
VANIVIHAR PH
ARGUL PH
BADAKHANDIAITA
BADAPADAGAON PH
BOLAGARH TOWN PH
BRAHMANI PH
DHAULIMUHAN PH
GOLABAI PH
GOPALPUR BALIKUDA PH
GOPINATH JEW BAN
JENAPUR ROAD PH
MAHADIA PH
MANGULI-CHOUDWAR PH
MATTAGAJAPUR
NAYABHAGIRATHIPUR PH
SARPESWAR PH
SRI JHADESWAR PH
BHUBANESWAR
PURI
BHADRAK
BRAHMAPUR
CUTTACK
KHURDA ROAD JN.
PALASA
BALUGAON
JAJPUR KEONJHAR ROAD
ANGUL
CHATRAPUR
DHANMANDAL
DHENKANAL
ICHCHAPURAM
KENDUJHARGARH
KHALLIKOTA
PARADEEP
SOMPETA
TALCHER
TALCHER ROAD
BADABANDHA
BAGHUAPAL
BAITARNI ROAD
BAJIPADA
BARANG
BARITHENGARH PH
BARUVA
BASANTAPUR
BAUDPUR
BEGUNIA
BHUBANESWAR NEW
